FACULTAD,ESPECIALIDAD
"Arquitectura, Urbanismo y Artes",Arquitectura
Ciencias,Ingeniería Física
Ciencias,Física
Ciencias,Ciencia de la Computación
Ciencias,Matemática
Ciencias,Química
Ciencias,Estadística
Ingeniería Ambiental,Ingeniería Ambiental
Ingeniería Ambiental,Ingeniería Sanitaria
Ingeniería Ambiental,Ingeniería de Higiene y Seguridad Industrial
Ingeniería Civil,Ingeniería Civil
"Ingeniería De Petróleo, Gas Natural y Petroquímica",Ingeniería Petroquímica
"Ingeniería De Petróleo, Gas Natural y Petroquímica",Ingeniería de Petróleo y Gas Natural
"Ingeniería De Petróleo, Gas Natural y Petroquímica",Ingeniería de Petróleo
"Ingeniería Económica, Estadística y Ciencias Sociales",Ingeniería Económica
"Ingeniería Económica, Estadística y Ciencias Sociales",Ingeniería Estadística
"Ingeniería Económica, Estadística y Ciencias Sociales",Estadística
Ingeniería Eléctrica y Electrónica,Ingeniería Electrónica
Ingeniería Eléctrica y Electrónica,Ingeniería Eléctrica
Ingeniería Eléctrica y Electrónica,Ingeniería de Telecomunicaciones
Ingeniería Eléctrica y Electrónica,Ingeniería de Ciberseguridad
"Ingeniería Geológica, Minera y Metalúrgica",Ingeniería Metalúrgica
"Ingeniería Geológica, Minera y Metalúrgica",Ingeniería de Minas
"Ingeniería Geológica, Minera y Metalúrgica",Ingeniería Geológica
Ingeniería Industrial y de Sistemas,Ingeniería Industrial
Ingeniería Industrial y de Sistemas,Ingeniería de Sistemas
Ingeniería Industrial y de Sistemas,Ingeniería de Software
Ingeniería Mecánica,Ingeniería Mecánica y Eléctrica
Ingeniería Mecánica,Ingeniería Mecánica
Ingeniería Mecánica,Ingeniería Mecatrónica
Ingeniería Mecánica,Ingeniería Naval
Ingeniería Química y Textil,Ingeniería Química
Ingeniería Química y Textil,Ingeniería Textil
